x,y,z,gamma,tilt
3600.0,600.0,70.0,0.0,0.0
3531.7531676931176,1155.8258449191403,70.0,0.0,0.0
3463.5063353862347,1711.6516898382806,70.0,0.0,0.0
3395.259503079352,2267.477534757421,70.0,0.0,0.0
3327.0126707724694,2823.3033796765612,70.0,0.0,0.0
3258.765838465587,3379.1292245957015,70.0,0.0,0.0
3190.519006158704,3934.955069514842,70.0,0.0,0.0
3122.272173851822,4490.780914433982,70.0,0.0,0.0
4160.0,600.0,70.0,0.0,0.0
4091.7531676931176,1155.8258449191403,70.0,0.0,0.0
4023.5063353862347,1711.6516898382806,70.0,0.0,0.0
3955.259503079352,2267.477534757421,70.0,0.0,0.0
3887.01267077247,2823.3033796765612,70.0,0.0,0.0
3818.765838465587,3379.1292245957015,70.0,0.0,0.0
3750.5190061587045,3934.955069514842,70.0,0.0,0.0
3682.2721738518217,4490.780914433982,70.0,0.0,0.0
4720.0,600.0,70.0,0.0,0.0
4651.753167693118,1155.8258449191403,70.0,0.0,0.0
4583.506335386235,1711.6516898382806,70.0,0.0,0.0
4515.259503079352,2267.477534757421,70.0,0.0,0.0
4447.012670772469,2823.3033796765612,70.0,0.0,0.0
4378.765838465587,3379.1292245957015,70.0,0.0,0.0
4310.5190061587045,3934.955069514842,70.0,0.0,0.0
4242.272173851821,4490.780914433982,70.0,0.0,0.0
5280.0,600.0,70.0,0.0,0.0
5211.753167693118,1155.8258449191403,70.0,0.0,0.0
5143.506335386235,1711.6516898382806,70.0,0.0,0.0
5075.259503079352,2267.477534757421,70.0,0.0,0.0
5007.012670772469,2823.3033796765612,70.0,0.0,0.0
4938.765838465587,3379.1292245957015,70.0,0.0,0.0
4870.5190061587045,3934.955069514842,70.0,0.0,0.0
4802.272173851821,4490.780914433982,70.0,0.0,0.0
5840.0,600.0,70.0,0.0,0.0
5771.753167693118,1155.8258449191403,70.0,0.0,0.0
5703.506335386235,1711.6516898382806,70.0,0.0,0.0
5635.259503079352,2267.477534757421,70.0,0.0,0.0
5567.012670772469,2823.3033796765612,70.0,0.0,0.0
5498.765838465587,3379.1292245957015,70.0,0.0,0.0
5430.5190061587045,3934.955069514842,70.0,0.0,0.0
5362.272173851821,4490.780914433982,70.0,0.0,0.0
6400.0,600.0,70.0,0.0,0.0
6331.753167693118,1155.8258449191403,70.0,0.0,0.0
6263.506335386235,1711.6516898382806,70.0,0.0,0.0
6195.259503079352,2267.477534757421,70.0,0.0,0.0
6127.012670772469,2823.3033796765612,70.0,0.0,0.0
6058.765838465587,3379.1292245957015,70.0,0.0,0.0
5990.5190061587045,3934.955069514842,70.0,0.0,0.0
5922.272173851822,4490.780914433982,70.0,0.0,0.0
6960.0,600.0,70.0,0.0,0.0
6891.753167693118,1155.8258449191403,70.0,0.0,0.0
6823.506335386235,1711.6516898382806,70.0,0.0,0.0
6755.259503079352,2267.477534757421,70.0,0.0,0.0
6687.012670772469,2823.3033796765612,70.0,0.0,0.0
6618.765838465587,3379.1292245957015,70.0,0.0,0.0
6550.519006158704,3934.955069514842,70.0,0.0,0.0
6482.272173851822,4490.780914433982,70.0,0.0,0.0
7520.0,600.0,70.0,0.0,0.0
7451.753167693118,1155.8258449191403,70.0,0.0,0.0
7383.506335386235,1711.6516898382806,70.0,0.0,0.0
7315.259503079352,2267.477534757421,70.0,0.0,0.0
7247.012670772469,2823.3033796765612,70.0,0.0,0.0
7178.765838465587,3379.1292245957015,70.0,0.0,0.0
7110.519006158704,3934.955069514842,70.0,0.0,0.0
7042.272173851822,4490.780914433982,70.0,0.0,0.0
8080.0,600.0,70.0,0.0,0.0
8011.753167693118,1155.8258449191403,70.0,0.0,0.0
7943.506335386235,1711.6516898382806,70.0,0.0,0.0
7875.259503079352,2267.477534757421,70.0,0.0,0.0
7807.012670772469,2823.3033796765612,70.0,0.0,0.0
7738.765838465587,3379.1292245957015,70.0,0.0,0.0
7670.519006158704,3934.955069514842,70.0,0.0,0.0
7602.272173851822,4490.780914433982,70.0,0.0,0.0
8640.0,600.0,70.0,0.0,0.0
8571.753167693118,1155.8258449191403,70.0,0.0,0.0
8503.506335386235,1711.6516898382806,70.0,0.0,0.0
8435.259503079353,2267.477534757421,70.0,0.0,0.0
8367.01267077247,2823.3033796765612,70.0,0.0,0.0
8298.765838465588,3379.1292245957015,70.0,0.0,0.0
8230.519006158704,3934.955069514842,70.0,0.0,0.0
8162.272173851822,4490.780914433982,70.0,0.0,0.0
